ID,chr,start,end,logLik,AIC,BIC,deviance,nobs,df_Temp,df_Salinity,df_Temp.Salinity,df_Residuals,sumsq_Temp,sumsq_Salinity,sumsq_Temp.Salinity,sumsq_Residuals,meansq_Temp,meansq_Salinity,meansq_Temp.Salinity,meansq_Residuals,statistic_Temp,statistic_Salinity,statistic_Temp.Salinity,statistic_Residuals,p.value_Temp,p.value_Salinity,p.value_Temp.Salinity,p.value_Residuals,sig_effect
NC_027300.1:10234607-10234626,NC_027300.1,10234607,10234626,17.5483066322307,-25.0966132644613,-21.2336696532624,0.104472993832826,16,1,1,1,12,0.00308317442912078,0.0234582587769371,0.00669451566750591,0.104472993832826,0.00308317442912078,0.0234582587769371,0.00669451566750591,0.00870608281940214,0.354140259526328,2.69446768007521,0.768946931286559,NA,0.562832925622332,0.126626232729515,0.397758461369589,NA,none
NC_027300.1:10236280-10236288,NC_027300.1,10236280,10236288,17.9415370245103,-25.8830740490207,-22.0201304378217,0.0994619149677842,16,1,1,1,12,0.00390263458101346,0.0095238004903478,0.014109740318653,0.0994619149677842,0.00390263458101346,0.0095238004903478,0.014109740318653,0.00828849291398201,0.470849721597763,1.14903886498858,1.70232881478984,NA,0.505638905229351,0.304835531456286,0.216450971647956,NA,none
NC_027300.1:10238316-10238329,NC_027300.1,10238316,10238329,7.54015346907216,-5.08030693814432,-1.21736332694541,0.365018395586105,16,1,1,1,12,0.00609845303096848,0.0460171739964254,0.00189234909424449,0.365018395586105,0.00609845303096848,0.0460171739964254,0.00189234909424449,0.0304181996321754,0.200486981633118,1.51281714739454,0.0622110814291199,NA,0.662304132711945,0.242278343919331,0.807253000009188,NA,none
NC_027300.1:10239921-10239948,NC_027300.1,10239921,10239948,16.0507030645956,-22.1014061291912,-18.2384625179923,0.125980741715019,16,1,1,1,12,0.0225397889589401,0.00251594161177123,0.00997950651493575,0.125980741715019,0.0225397889589401,0.00251594161177123,0.00997950651493575,0.0104983951429183,2.14697471871635,0.239650115805402,0.950574481059371,NA,0.168556119063168,0.633285436651814,0.348818224671625,NA,none
NC_027300.1:110815515-110815542,NC_027300.1,110815515,110815542,5.51993837200409,-1.03987674400818,1.38465650493182,0.280001548551056,12,1,1,1,8,0.0974518640006966,0.0115701221141884,0.19751436088739,0.280001548551056,0.0974518640006966,0.0115701221141884,0.19751436088739,0.0350001935688821,2.78432357263701,0.330573089300716,5.64323624378454,NA,0.13374421572554,0.581126863721217,0.0448561739330155,NA,TempxSal
NC_027300.1:111135317-111135335,NC_027300.1,111135317,111135335,8.32608631765296,-6.65217263530593,-3.45688598722963,0.249508913415632,14,1,1,1,10,0.000322155666199577,0.0984518868574178,7.10361209366137e-05,0.249508913415632,0.000322155666199577,0.0984518868574178,7.10361209366137e-05,0.0249508913415631,0.012911589481492,3.94582644402033,0.00284703740496364,NA,0.911780665054938,0.0750677768872157,0.958497853954077,NA,none
NC_027300.1:118199152-118199212,NC_027300.1,118199152,118199212,5.05381969082429,-0.107639381648575,3.08764726642772,0.398202751177934,14,1,1,1,10,0.171793439730524,0.0291652092987872,0.0159602517508755,0.398202751177934,0.171793439730524,0.0291652092987872,0.0159602517508755,0.0398202751177934,4.31422031169643,0.732421089822028,0.400807169304157,NA,0.0645141861784118,0.412136098853311,0.540879562872038,NA,none
NC_027300.1:126989079-126989123,NC_027300.1,126989079,126989123,3.00215046402681,3.99569907194639,7.19098572002268,0.533819039650785,14,1,1,1,10,0.0766554677256406,1.14377813993581e-05,0.00235142406064661,0.533819039650785,0.0766554677256406,1.14377813993581e-05,0.00235142406064661,0.0533819039650785,1.43598227174114,0.000214263271816616,0.0440490856636524,NA,0.258418958865844,0.988609117004619,0.837976611572437,NA,none
NC_027300.1:157309680-157309699,NC_027300.1,157309680,157309699,12.9233674396044,-15.8467348792087,-11.9837912680098,0.186241832670019,16,1,1,1,12,0.000676669750980421,0.0142276898126315,0.000338660654640006,0.186241832670019,0.000676669750980421,0.0142276898126315,0.000338660654640006,0.0155201527225016,0.0435994260545751,0.916723570123365,0.0218207037453314,NA,0.838103056154941,0.357229800591999,0.885018070852789,NA,none
NC_027300.1:157674571-157674582,NC_027300.1,157674571,157674582,1.66304191542088,6.67391616915824,9.49866295646593,0.589323322491058,13,1,1,1,9,0.00129087789907773,0.0149882664379202,0.0308292875117317,0.589323322491058,0.00129087789907773,0.0149882664379202,0.0308292875117317,0.0654803691656732,0.01971396794987,0.228897097388044,0.470817252629257,NA,0.891431041221302,0.643750950524779,0.509900074700057,NA,none
NC_027300.1:158011653-158011706,NC_027300.1,158011653,158011706,17.1702393833536,-24.3404787667071,-20.4775351555082,0.109528743430605,16,1,1,1,12,0.000579619880035355,0.010598621575998,0.00159511065989846,0.109528743430605,0.000579619880035355,0.010598621575998,0.00159511065989846,0.00912739528588376,0.0635033174175969,1.16118796699751,0.17476077346682,NA,0.805306318694734,0.30240516852622,0.68329847724347,NA,none
NC_027300.1:158142818-158142930,NC_027300.1,158142818,158142930,-1.07515792967627,12.1503158593525,14.9750626466602,0.898059641743535,13,1,1,1,9,0.0353253898274285,0.0225936280659969,0.00645456872374203,0.898059641743535,0.0353253898274285,0.0225936280659969,0.00645456872374203,0.0997844046381706,0.354017142814273,0.22642444125336,0.0646851454107184,NA,0.566504764653593,0.645525739699324,0.804954168586878,NA,none
NC_027300.1:21908110-21908138,NC_027300.1,21908110,21908138,4.74769098637977,0.504618027240463,3.69990467531676,0.416003624392477,14,1,1,1,10,0.0155749463896438,0.152168141199543,0.0301794442068548,0.416003624392477,0.0155749463896438,0.152168141199543,0.0301794442068548,0.0416003624392477,0.374394487845848,3.65785614059893,0.725461088252012,NA,0.554274519990576,0.0848465533329728,0.414290234774367,NA,none
NC_027300.1:27136899-27136923,NC_027300.1,27136899,27136923,2.62923808589963,4.74152382820073,7.93681047627702,0.563028417131873,14,1,1,1,10,0.0381342330023748,0.0344089567723337,0.00443149764914321,0.563028417131873,0.0381342330023748,0.0344089567723337,0.00443149764914321,0.0563028417131873,0.677305653534055,0.611140676479823,0.0787082412592553,NA,0.429704628605757,0.452470570512956,0.78477413626699,NA,none
NC_027300.1:28471994-28472130,NC_027300.1,28471994,28472130,3.18577212651001,3.62845574697998,6.82374239505628,0.519998141952545,14,1,1,1,10,0.0786304137999597,0.496701728133259,0.0911890072805683,0.519998141952545,0.0786304137999597,0.496701728133259,0.0911890072805683,0.0519998141952545,1.51212874539724,9.55199044112332,1.75364102144985,NA,0.246960687540008,0.0114317001639323,0.214888134044527,NA,Sal
NC_027300.1:30601613-30601629,NC_027300.1,30601613,30601629,7.02781699178968,-4.05563398357935,-0.860347335503061,0.300353972131566,14,1,1,1,10,0.0313514988376027,0.0962865759443697,0.00694318408064821,0.300353972131566,0.0313514988376027,0.0962865759443697,0.00694318408064821,0.0300353972131566,1.04381835256268,3.20577002065392,0.231166714106476,NA,0.33101533567439,0.103648376610539,0.641005873265047,NA,none
