ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
NC_001960.1:16227-16274,0.00395493044862312,-0.0513809067486757,0.0323396038975377,0.0714714125408802,0.792245428734973,2,41.3040879519734,-76.6081759039467,-73.6209790832848,0.0188252996444934,18
NC_001960.1:303-335,0.00586174986846796,-0.0493681529166172,0.0160258124266104,0.106133626403031,0.748346405681829,2,55.3459260927266,-104.691852185453,-101.704655364791,0.00462287995079222,18
NC_001960.1:3594-3789,9.21549811892086e-05,-0.0554582808531892,0.0247633445763367,0.00165894254122444,0.96795943054242,2,46.6426497018541,-87.2852994037081,-84.2981025830462,0.0110380182229149,18
NC_001960.1:6640-6848,0.0676247146582233,0.0158260876947912,0.0100887600437199,1.30553102702826,0.268176392830494,2,64.6015013282766,-123.203002656553,-120.215805835891,0.00183209542595566,18
NC_001960.1:8434-8768,0.00250103045905835,-0.052915578959883,0.0128347006451678,0.0451314233274529,0.834149763111776,2,59.7868902575365,-113.573780515073,-110.586583694411,0.00296513173171929,18
NC_027300.1:102899408-102899462,0.0134156012123633,-0.0413946431647276,0.123114509435708,0.244764484538052,0.626770326945076,2,14.5676422059339,-23.1352844118678,-20.1480875912058,0.27282928380471,18
NC_027300.1:10312345-10312519,0.000392821637277004,-0.0551409104939853,0.14820965541555,0.00707356812159699,0.933901676947838,2,10.8573828322923,-15.7147656645846,-12.7275688439226,0.395389835251131,18
NC_027300.1:15122262-15122271,0.0567974922882427,0.00439735297092281,0.308275621215453,1.08391872670975,0.311605415274229,2,-3.78994506564499,13.57989013129,16.5670869519519,1.71060945544393,18
NC_027300.1:77567198-77567219,0.0743656170437056,0.0199165356933353,0.174325381328511,1.36578276803562,0.258665394524539,2,7.28661405263942,-8.57322810527884,-5.73991116777952,0.516618755780623,17
NC_027301.1:32623148-32623201,0.103215177283413,0.0391591185179428,0.217451378565075,1.6113257554811,0.225002111459056,2,2.77771461405671,0.444570771886574,2.76233693860592,0.661991428557922,14
NC_027301.1:45282713-45282740,0.0163107105177216,-0.0539528101595841,0.342887888376131,0.232136254495852,0.637389035415095,2,-4.50913752961388,15.0182750592278,17.3360412259471,1.64600945593058,14
